focal_points, angle_of_incidence, directions
A,30,15
B,30,75
D,60,90
B,60,60
B,30,15
E,30,315
E,60,120
E,60,105
A,60,225
D,60,210
B,30,150
B,30,345
B,60,330
E,30,195
B,60,300
B,30,45
B,30,315
A,60,285
D,30,195
D,30,330
D,30,270
A,60,330
C,30,210
C,0
B,60,210
C,30,135
B,60,345
A,60,240
C,30,45
C,60,105
D,60,225
E,60,150
C,30,150
B,30,285
C,30,345
D,30,315
C,60,180
C,30,300
B,30,165
B,30,255
A,30,195
C,30,330
D,60,60
A,60,90
E,30,270
D,60,135
E,60,30
E,60,45
A,60,300
A,30,90
C,60,225
D,30,165
A,60,75
A,60,120
E,60,60
D,60,150
D,30,300
C,60,255
A,30,285
D,60,255
D,60,30
D,30,105
E,30,240
E,60,15
C,30,0
E,60,195
C,30,240
C,30,15
A,60,30
D,30,30
E,60,255
D,30,135
C,60,45
C,60,120
A,30,60
C,30,120
E,30,210
A,30,165
B,30,30
E,60,300
E,60,210
B,60,240
C,30,195
E,60,285
E,30,0
D,60,330
C,60,210
B,60,225
E,30,105
B,30,300
D,30,60
D,30,120
A,30,75
D,60,285
E,30,60
E,30,255
A,30,180
A,30,105
B,30,90
E,30,150
A,30,315
C,60,330
A,60,60
E,30,165
C,30,285
A,60,150
B,60,315
A,30,30
D,60,300
E,60,75
C,30,180
A,60,270
E,30,135
B,60,45
D,60,165
A,30,210
B,60,90
A,60,255
E,60,345
A,60,315
C,30,75
C,30,315
B,60,255
B,60,150
E,30,345
B,30,225
B,30,135
C,60,165
A,0
B,0
B,30,180
B,30,330
C,30,60
D,60,0
A,30,135
A,60,210
A,60,135
A,30,330
A,30,255
C,60,15
E,60,90
A,30,120
D,30,0
D,60,120
A,60,345
D,30,255
D,60,75
D,30,45
D,30,345
D,0
D,60,15
E,30,45
B,60,15
D,30,90
D,30,225
E,30,330
E,30,90
C,60,270
E,0
D,60,345
A,60,105
B,60,30
E,30,75
E,60,240
A,60,45
C,60,75
E,60,315
B,60,135
A,30,300
D,60,315
C,30,270
C,60,285
A,60,180
B,30,195
B,30,120
D,30,15
B,30,0
A,30,240
B,60,165
B,30,210
B,60,195
C,60,90
E,60,270
A,30,0
D,30,240
D,60,45
D,60,195
C,30,90
D,60,240
A,30,345
A,30,45
C,60,300
A,30,225
E,60,330
C,60,195
C,30,255
E,60,225
C,60,315
B,30,60
D,30,285
D,30,180
B,60,120
C,30,225
B,60,270
E,30,285
C,60,345
C,60,0
B,60,180
D,60,105
A,30,270
D,60,270
A,60,15
B,60,105
A,60,195
D,30,150
E,30,225
D,60,180
C,60,240
B,30,240
E,30,180
D,30,210
A,60,0
E,30,15
E,60,135
B,60,0
A,60,165
C,60,135
B,30,105
E,60,180
D,30,75
B,60,285
C,60,30
B,60,75
E,30,300
E,30,120
C,30,105
C,60,60
C,60,150
B,30,270
A,30,150
C,30,165
E,60,165
E,30,30
C,30,30
E,60,0
