focal_points, angle_of_incidence, directions
B,30,165
D,30,75
B,30,285
B,30,135
A,30,45
A,30,180
C,30,300
D,30,225
B,30,210
E,30,345
C,30,120
A,30,210
B,30,315
B,30,15
C,30,195
D,30,60
E,30,30
C,30,180
A,30,120
D,30,90
E,30,315
A,30,300
E,30,15
E,30,120
E,30,45
D,30,135
E,30,195
D,30,270
C,30,0
B,30,240
E,30,330
E,30,285
B,30,75
A,30,90
C,30,135
A,30,240
E,30,0
E,30,135
C,30,45
D,30,285
E,30,180
B,30,0
B,30,225
A,30,15
E,30,60
D,30,0
D,30,150
E,30,105
C,30,150
C,30,270
A,30,165
E,30,255
E,30,270
A,30,195
A,30,285
D,30,240
C,30,90
A,30,75
E,30,300
B,30,60
A,30,270
D,30,180
D,30,105
C,30,165
E,30,210
B,30,90
A,30,60
B,30,120
D,30,30
D,30,195
B,30,345
C,30,75
B,30,45
A,30,255
D,30,210
D,30,330
E,30,225
D,30,255
C,30,330
B,30,255
D,30,45
D,30,345
A,30,345
B,30,195
C,30,285
B,30,30
C,30,225
C,30,255
A,30,225
A,30,315
D,30,300
E,30,165
C,30,30
B,30,300
C,30,15
C,30,210
C,30,60
D,30,15
A,30,135
C,30,315
E,30,150
C,30,345
B,30,330
C,30,105
D,30,165
D,30,315
B,30,150
B,30,105
A,30,330
D,30,120
C,30,240
A,30,0
A,30,150
E,30,240
B,30,180
E,30,75
E,30,90
A,30,30
A,30,105
B,30,270
